"","X","id","scrape_id","source","host_id","host_name","host_since","host_response_rate","host_acceptance_rate","host_neighbourhood","host_listings_count","host_total_listings_count","host_verifications","host_has_profile_pic","host_identity_verified","neighbourhood","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bathrooms","bathrooms_text","bedrooms","beds","price","minimum_nights","maximum_nights","minimum_minimum_nights","maximum_minimum_nights","minimum_maximum_nights","maximum_maximum_nights","minimum_nights_avg_ntm","maximum_nights_avg_ntm","has_availability","availability_30","availability_60","availability_90","availability_365","calendar_last_scraped","number_of_reviews_ltm","number_of_reviews_l30d","availability_eoy","number_of_reviews_ly","estimated_occupancy_l365d","estimated_revenue_l365d","first_review","last_review","instant_bookable","calculated_host_listings_count","calculated_host_listings_count_entire_homes","calculated_host_listings_count_private_rooms","calculated_host_listings_count_shared_rooms","wifi","hair.dryer","hot.water","dishes.and.silverware","kitchen","iron","cooking.basics","hangers","refrigerator","bed.linens","essentials","heating","shampoo","microwave","hot.water.kettle","smoke.alarm","long.term.stays.allowed","shower.gel","dedicated.workspace","dining.table","f_room_type","f_room_type2","Czech_koruna_price_day","p_host_response_rate","p_host_acceptance_rate","accommodates_n","bathrooms_n","number_of_reviews_n","minimum_nights_n","beds_n","ln_price","accommodates2","ln_accommodates","ln_accommodates2","ln_number_of_reviews","f_bathroom","f_minimum_nights"
"1033",1456,17859870,20250316041547,"city scrape",37031759,"Nick And Jenny","2015-06-29","100","100","Žižkov",62,67,"['email', 'phone', 'work_email']",1,1,"Prague, Czechia","Praha 1",50.07761,14.42652,"Rental Unit","Entire home/apt",7,2,"2 baths",2,4,1630,2,1124,2,2,365,1124,2,694.8,"t",11,21,34,199,"2025-03-16",64,4,199,69,255,415650,"2017-04-03","2025-02-27",1,61,61,0,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,1,0,0,1,"Entire home/apt","Entire/Apt",1630,100,100,7,2,266,2,4,7.39633529380081,49,1.94591014905531,3.78656630819647,5.58724865840025,3,2
"1034",1457,17093827,20250316041547,"city scrape",8913102,"Hana","2013-09-18","100","100","Josefov",4,4,"['email', 'phone']",1,1,"Prague, Czechia","Praha 1",50.08942,14.42342,"Rental Unit","Entire home/apt",4,1,"1 bath",2,2,2095,2,92,1,2,1125,1125,2,1125,"t",7,13,17,169,"2025-03-16",87,6,97,90,255,534225,"2017-03-11","2025-03-08",1,4,4,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,"Entire home/apt","Entire/Apt",2095,100,100,4,1,534,2,2,7.64730883235624,16,1.38629436111989,1.92181205567281,6.28226674689601,2,2
"1035",1458,18220414,20250316041547,"city scrape",31736065,"Alena","2015-04-22","100","100","",3,3,"['phone']",1,1,"Prague, Holesovice, Hlavní město Praha, Czechia","Praha 7",50.11052,14.45058,"Condo","Entire home/apt",2,1,"1 bath",1,1,1266,3,30,3,3,1125,1125,3,1125,"t",14,28,32,89,"2025-03-16",5,0,89,5,30,37980,"2019-06-11","2025-01-01",0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,"Entire home/apt","Entire/Apt",1266,100,100,2,1,67,3,1,7.14361760270412,4,0.693147180559945,0.480453013918201,4.21950770517611,2,3
"1036",1460,18237528,20250316041547,"city scrape",52431987,"Michal & Friends","2015-12-27","100","100","Staré Město",103,147,"['email', 'phone']",1,1,"Prague, Czechia","Praha 1",50.09349,14.43538,"Rental Unit","Entire home/apt",4,1.5,"1.5 baths",1,1,1698,1,1124,1,4,999,999,2.5,999,"t",6,29,45,314,"2025-03-16",58,3,240,59,255,432990,"2017-05-01","2025-03-09",1,81,81,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,"Entire home/apt","Entire/Apt",1698,100,100,4,1.5,332,1,1,7.43720636687129,16,1.38629436111989,1.92181205567281,5.80814248998044,2,1
"1037",1461,18263406,20250316041547,"city scrape",126240731,"Zdenka","2017-04-17","100","100","Prague 6",1,1,"['email', 'phone']",1,1,"Prague, Czechia","Praha 6",50.08195,14.38034,"Condo","Entire home/apt",4,1.5,"1.5 baths",1,2,1712,3,62,3,3,1125,1125,3,1125,"t",30,48,58,227,"2025-03-16",27,1,153,27,162,277344,"2017-04-30","2025-02-17",1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,"Entire home/apt","Entire/Apt",1712,100,100,4,1.5,126,3,2,7.44541755670169,16,1.38629436111989,1.92181205567281,4.84418708645859,2,3
"1038",1463,18265005,20250316041547,"city scrape",2130921,"Robert And Pavel","2012-04-13","100","100","Prague 2",6,6,"['email', 'phone']",1,1,"Prague, Czechia","Praha 3",50.08101,14.45697,"Rental Unit","Entire home/apt",4,1,"1 bath",1,2,1754,1,1125,1,1,30,30,1,30,"t",22,37,67,342,"2025-03-16",54,1,268,52,255,447270,"2017-04-21","2025-02-26",1,6,6,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,"Entire home/apt","Entire/Apt",1754,100,100,4,1,263,1,2,7.46965417293213,16,1.38629436111989,1.92181205567281,5.57594910314632,2,1
"1039",1467,17899079,20250316041547,"city scrape",122637674,"David","2017-03-26","100","100","Josefov",11,11,"['email', 'phone']",1,0,"Prague, Czechia","Praha 1",50.09137,14.42144,"Rental Unit","Entire home/apt",2,1.5,"1.5 baths",0,1,1051,2,17,2,2,17,17,2,17,"t",1,1,4,142,"2025-03-16",64,1,72,66,255,268005,"2017-04-02","2025-02-27",1,10,10,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,"Entire home/apt","Entire/Apt",1051,100,100,2,1.5,393,2,1,6.95749737087695,4,0.693147180559945,0.480453013918201,5.97635090929793,2,2
"1040",1468,17899870,20250316041547,"city scrape",39104111,"Julie","2015-07-21","100","100","Staré Město",3,3,"['email', 'phone']",1,1,"Prague, Czechia","Praha 1",50.07901,14.42852,"Rental Unit","Entire home/apt",2,1,"1 bath",1,1,1445,2,10,2,2,1125,1125,2,1125,"t",14,15,29,85,"2025-03-16",71,6,85,69,255,368475,"2017-04-09","2025-03-09",0,2,2,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,"Entire home/apt","Entire/Apt",1445,100,100,2,1,353,2,1,7.27586460054653,4,0.693147180559945,0.480453013918201,5.86929691313377,2,2
"1041",1469,17906735,20250316041547,"city scrape",487187272,"Emma","2022-11-10","N/A","N/A","",22,27,"['email', 'phone']",1,1,"Prague, Czechia","Praha 1",50.08999,14.41891,"Rental Unit","Entire home/apt",16,2.5,"2.5 baths",3,7,1324,2,1125,1,2,1125,1125,2,1125,"t",21,44,70,334,"2025-03-16",31,1,260,34,186,246264,"2017-04-13","2025-03-02",1,6,6,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,"Entire home/apt","Entire/Apt",1324,-1,-1,16,2.5,316,2,7,7.18841273649695,256,2.77258872223978,7.68724822269122,5.75890177387728,3,2
"1042",1470,17933064,20250316041547,"city scrape",94768648,"Mira","2016-09-12","100","99","Prague 2",2,3,"['email', 'phone', 'work_email']",1,1,"","Praha 2",50.08198,14.43843,"Rental Unit","Entire home/apt",4,1,"1 bath",1,2,1677,1,1125,1,1,1125,1125,1,1125,"t",13,22,36,103,"2025-03-16",54,3,103,54,255,427635,"2017-05-18","2025-03-09",0,2,2,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,"Entire home/apt","Entire/Apt",1677,100,99,4,1,353,1,2,7.42476176182321,16,1.38629436111989,1.92181205567281,5.86929691313377,2,1
